word_stimuli,isi,countdown,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_exposure.started,sound_exposure.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
sounds/gauche.ogg,0.7,,0,0,0,0,0,0,0,23,,,,,41.54428735000547,None,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/gauche.ogg,0.7,,0,0,0,0,0,1,1,13,,,,,43.04576194999972,42.3616311000078,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/droite.ogg,0.7,,0,0,0,0,0,2,2,36,,,,,44.56232664999552,43.87745559998439,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/gauche.ogg,0.7,,0,0,0,0,0,3,3,20,,,,,46.06293334998772,45.3787297999952,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/droite.ogg,0.7,,0,0,0,0,0,4,4,35,,,,,47.562989550008204,46.87959269998828,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/gauche.ogg,0.7,,0,0,0,0,0,5,5,14,,,,,49.063516050000906,48.38036270000157,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/droite.ogg,0.7,,0,0,0,0,0,6,6,46,,,,,50.56329774999758,None,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/droite.ogg,0.7,,0,0,0,0,0,7,7,31,,,,,52.0648764499987,51.38059099999373,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/gauche.ogg,0.7,,0,0,0,0,0,8,8,8,,,,,53.56455054999096,52.880677400011336,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/droite.ogg,0.7,,0,0,0,0,0,9,9,34,,,,,55.06458235000027,54.3808480000007,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/droite.ogg,0.7,,0,0,0,0,0,10,10,47,,,,,56.56518395001185,55.88114929999574,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
sounds/droite.ogg,0.7,,0,0,0,0,0,11,11,33,,,,,58.06520275000948,None,,,,001,2021_May_05_1431,list_pa,2021.1.4,59.90613905448617,
