word_stimuli,isi,countdown,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_exposure.started,sound_exposure.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
sounds/droite.ogg,0.7,,0,0,0,0,0,0,0,26,,,,,171.9076752800378,None,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,1,1,5,,,,,173.40768888002495,172.7241212000372,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,2,2,39,,,,,174.90634328002344,174.22496970003704,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,3,3,37,,,,,176.40853878003546,None,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,4,4,45,,,,,177.90896957999794,177.2242658000323,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,5,5,47,,,,,179.4093414800358,178.72400789998937,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,6,6,27,,,,,180.90989998003934,None,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,7,7,43,,,,,182.41040188001935,181.72482350002974,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,8,8,8,,,,,183.91036538003246,183.22744250000687,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,9,9,16,,,,,185.41104268000927,184.72557579999557,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,10,10,17,,,,,186.9107101800386,186.22613540000748,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,11,11,19,,,,,188.4112837800407,187.72713369998382,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,12,12,23,,,,,189.9113983800402,189.22870179999154,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,13,13,31,,,,,191.4116133799893,190.72586740000406,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,14,14,34,,,,,192.91198218000355,192.22691480000503,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,15,15,44,,,,,194.41214957999765,None,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,16,16,9,,,,,195.91289968000493,None,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,17,17,35,,,,,197.4130319800228,196.72882850002497,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,18,18,48,,,,,198.9126901800395,None,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,19,19,15,,,,,200.4134950799984,199.72869120002724,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,20,20,4,,,,,201.91411588001066,201.22878840001067,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,21,21,25,,,,,203.41395128003788,202.72870879998663,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,22,22,2,,,,,204.9146414799965,204.22916640003677,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,23,23,1,,,,,206.41519608002855,205.72933950001607,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,24,24,30,,,,,207.91517478004099,207.22902959998464,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,25,25,29,,,,,209.4152569800266,208.73032239999156,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,26,26,12,,,,,210.9154691800126,210.2305541000096,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,27,27,42,,,,,212.41610548002646,211.7309724999941,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,28,28,46,,,,,213.91657038001577,213.23145389999263,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,29,29,49,,,,,215.41614298002096,None,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,30,30,38,,,,,216.91722658000654,216.2321520000114,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,31,31,18,,,,,218.41697608001996,217.7323039000039,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,32,32,28,,,,,219.916865779995,219.23256500001298,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,33,33,36,,,,,221.41790908002295,220.73314229998505,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,34,34,14,,,,,222.91805737998803,222.23311390000163,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,35,35,21,,,,,224.4187526799855,223.7332542000222,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,36,36,10,,,,,225.91939108001534,225.23407220002264,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,37,37,22,,,,,227.41935428002617,226.7340493000229,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,38,38,33,,,,,228.9195122800069,228.2342989000026,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,39,39,0,,,,,230.41964418002172,229.73497560003307,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,40,40,3,,,,,231.917853080004,None,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,41,41,13,,,,,233.4208040800062,232.73508850001963,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,42,42,24,,,,,234.92067997999257,234.23554800002603,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,43,43,7,,,,,236.42092998003355,None,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,44,44,32,,,,,237.9212586800335,237.23619299998973,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,45,45,41,,,,,239.42157238003566,238.73513260000618,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/gauche.ogg,0.7,,0,0,0,0,0,46,46,6,,,,,240.92184828004102,240.2368932000245,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
sounds/droite.ogg,0.7,,0,0,0,0,0,47,47,40,,,,,242.42208528004122,241.73746189998928,,,,001,2021_May_03_1429,list_pa,2021.1.4,60.56491318596255,
