word_stimuli,isi,countdown,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_exposure.started,sound_exposure.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
sounds/gauche.ogg,0.7,,0,0,0,0,0,0,0,22,,,,,56.22053193999964,None,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/gauche.ogg,0.7,,0,0,0,0,0,1,1,5,,,,,57.72243544000012,57.03638620000129,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/droite.ogg,0.7,,0,0,0,0,0,2,2,40,,,,,59.22214214000051,58.53646019999724,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/droite.ogg,0.7,,0,0,0,0,0,3,3,48,,,,,60.72233154000205,None,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/gauche.ogg,0.7,,0,0,0,0,0,4,4,15,,,,,62.223402440000065,61.53736789999675,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/gauche.ogg,0.7,,0,0,0,0,0,5,5,6,,,,,63.73998494000043,None,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/gauche.ogg,0.7,,0,0,0,0,0,6,6,2,,,,,65.23934184000026,64.55491220000113,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/droite.ogg,0.7,,0,0,0,0,0,7,7,35,,,,,66.74073483999891,66.05520619999879,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/gauche.ogg,0.7,,0,0,0,0,0,8,8,12,,,,,68.24077463999637,67.55585199999769,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/droite.ogg,0.7,,0,0,0,0,0,9,9,46,,,,,69.74085053999951,None,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/gauche.ogg,0.7,,0,0,0,0,0,10,10,20,,,,,71.2418632399982,70.55591959999583,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/gauche.ogg,0.7,,0,0,0,0,0,11,11,0,,,,,72.74159923999613,72.05646100000013,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/droite.ogg,0.7,,0,0,0,0,0,12,12,44,,,,,74.24247393999903,None,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/gauche.ogg,0.7,,0,0,0,0,0,13,13,9,,,,,75.74329753999845,75.05697939999664,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/droite.ogg,0.7,,0,0,0,0,0,14,14,43,,,,,77.24291733999925,76.55608049999864,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/gauche.ogg,0.7,,0,0,0,0,0,15,15,3,,,,,78.74266683999812,78.05743329999677,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/droite.ogg,0.7,,0,0,0,0,0,16,16,27,,,,,80.24332454000032,None,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
sounds/gauche.ogg,0.7,,0,0,0,0,0,17,17,10,,,,,81.74297843999884,81.0578147999986,,,,001,2021_May_07_1421,list_pa,2021.1.4,59.47300966169726,
