word_stimuli,isi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_exposure.started,sound_exposure.stopped,participant,session,date,expName,psychopyVersion,frameRate,
sounds/droite.ogg,0.7,0,0,0,0,0,35,35,34,,,,,109.26702526001027,None,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/gauche.ogg,0.7,0,0,0,0,0,36,36,21,,,,,110.76849925999996,None,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/droite.ogg,0.7,0,0,0,0,0,37,37,46,,,,,112.26873186002486,111.58299970004009,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/gauche.ogg,0.7,0,0,0,0,0,38,38,24,,,,,113.76956566002919,None,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/droite.ogg,0.7,0,0,0,0,0,39,39,38,,,,,115.2694499600213,114.58391020004638,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/gauche.ogg,0.7,0,0,0,0,0,40,40,14,,,,,116.76941575999372,116.08394840004621,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/gauche.ogg,0.7,0,0,0,0,0,41,41,20,,,,,118.27017536001513,117.58389810001245,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/droite.ogg,0.7,0,0,0,0,0,42,42,27,,,,,119.77090746000177,119.08440450002672,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/gauche.ogg,0.7,0,0,0,0,0,43,43,2,,,,,121.27048286002828,120.58497950003948,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/droite.ogg,0.7,0,0,0,0,0,44,44,30,,,,,122.77093806000194,122.08566820004489,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/droite.ogg,0.7,0,0,0,0,0,45,45,40,,,,,124.2688978600083,123.58573580003576,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/gauche.ogg,0.7,0,0,0,0,0,46,46,6,,,,,125.77120376004605,125.086141900043,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/droite.ogg,0.7,0,0,0,0,0,47,47,48,,,,,127.27147856004304,126.58636430004844,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/droite.ogg,0.7,0,0,0,0,0,48,48,25,,,,,128.77107726001412,128.08664920000592,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
sounds/droite.ogg,0.7,0,0,0,0,0,49,49,49,,,,,130.27195346005027,None,,001,2021_May_03_0904,list_pa,2021.1.4,59.9333900324498,
