word_stimuli,isi,countdown,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_exposure.started,sound_exposure.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
sounds/gauche.ogg,0.7,,0,0,0,0,0,0,0,16,,,,,40.49304262000369,None,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/droite.ogg,0.7,,0,0,0,0,0,1,1,38,,,,,41.99421502002515,41.308894200017676,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/droite.ogg,0.7,,0,0,0,0,0,2,2,25,,,,,43.49489882005146,42.80901830003131,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/droite.ogg,0.7,,0,0,0,0,0,3,3,42,,,,,44.995430220023266,44.30994840001222,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/gauche.ogg,0.7,,0,0,0,0,0,4,4,21,,,,,46.49491562000476,None,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/gauche.ogg,0.7,,0,0,0,0,0,5,5,9,,,,,47.993055020039904,47.3105196999968,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/droite.ogg,0.7,,0,0,0,0,0,6,6,47,,,,,49.49573251999682,None,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/gauche.ogg,0.7,,0,0,0,0,0,7,7,7,,,,,50.99572842002381,50.31131100002676,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/gauche.ogg,0.7,,0,0,0,0,0,8,8,14,,,,,52.49628512001364,51.81168700003764,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/gauche.ogg,0.7,,0,0,0,0,0,9,9,10,,,,,53.996429420006464,53.31202489999123,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/droite.ogg,0.7,,0,0,0,0,0,10,10,39,,,,,55.49664262000006,54.812309200002346,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
sounds/gauche.ogg,0.7,,0,0,0,0,0,11,11,0,,,,,56.9971760200453,56.312356500013266,,,,001,2021_May_03_1524,list_pa,2021.1.4,59.94176058854945,
