word_stimuli,isi,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,sound_exposure.started,sound_exposure.stopped,participant,session,date,expName,psychopyVersion,frameRate,
sounds/droite.ogg,0.7,0,36,36,28,63.20740353998262,62.52075679998961,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/gauche.ogg,0.7,0,37,37,4,64.70808133999235,64.02117399999406,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/droite.ogg,0.7,0,38,38,48,66.2081065399805,65.52130269998452,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/gauche.ogg,0.7,0,39,39,17,67.70835603998857,67.02160229999572,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/droite.ogg,0.7,0,40,40,38,69.20840303999721,68.52185920000193,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/gauche.ogg,0.7,0,41,41,8,70.70854713998851,70.0223638000025,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/droite.ogg,0.7,0,42,42,39,72.2086470399925,71.52270949998638,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/droite.ogg,0.7,0,43,43,34,73.70919453999959,None,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/droite.ogg,0.7,0,44,44,32,75.20928023998276,74.52312840000377,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/droite.ogg,0.7,0,45,45,41,76.70928793998318,76.02364969998598,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/gauche.ogg,0.7,0,46,46,21,78.20991963999113,77.52387199999066,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/droite.ogg,0.7,0,47,47,35,79.71050083999289,79.02420479999273,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/droite.ogg,0.7,0,48,48,27,81.21021353998803,80.52464759998838,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
sounds/droite.ogg,0.7,0,49,49,25,82.71054663999239,82.02489259999129,,001,2021_Apr_30_0947,list_pa,2021.1.4,60.114469981085534,
