ExperimentName;Subject;Session;Chronos.BoxInfo;Clock.Information;DataFile.Basename;Display.RefreshRate;ExperimentVersion;Group;Hello.DEVICE;RandomSeed;RuntimeCapabilities;RuntimeVersion;RuntimeVersionExpected;SessionDate;SessionStartDateTimeUtc;SessionTime;StudioVersion;Block;EndTraining.DEVICE;Generalbloc;Generalbloc.Cycle;Generalbloc.Sample;Procedure[Block];Running[Block];TextDisplay1.DEVICE;TextDisplay2.DEVICE;TextTraining.DEVICE;time;VVInst.DEVICE[Block];Trial;correct;image;listVVTrial;listVVTrial.Cycle;listVVTrial.Sample;offset;Procedure[Trial];Running[Trial];SpatialTaskTraining;SpatialTaskTraining.Cycle;SpatialTaskTraining.Sample;VVInst.DEVICE[Trial];vvstimnoresp.ACC;vvstimnoresp.CRESP;vvstimnoresp.DurationError;vvstimnoresp.OnsetDelay;vvstimnoresp.OnsetTime;vvstimnoresp.OnsetToOnsetTime;vvstimnoresp.RESP;vvstimnoresp.RT;vvstimnoresp.RTTime;vvstimresp1.ACC;vvstimresp1.CRESP;vvstimresp1.DEVICE;vvstimresp1.DurationError;vvstimresp1.OnsetDelay;vvstimresp1.OnsetTime;vvstimresp1.OnsetToOnsetTime;vvstimresp1.RESP;vvstimresp1.RT;vvstimresp1.RTTime;vvstimresp2.ACC;vvstimresp2.CRESP;vvstimresp2.DEVICE;vvstimresp2.DurationError;vvstimresp2.OnsetDelay;vvstimresp2.OnsetTime;vvstimresp2.OnsetToOnsetTime;vvstimresp2.RESP;vvstimresp2.RT;vvstimresp2.RTTime;SubTrial;LISTVVRANDOM1;LISTVVRANDOM1.Cycle;LISTVVRANDOM1.Sample;LISTVVRANDOM2;Procedure[SubTrial];Running[SubTrial];VVR;VVRANDOM;VVRANDOMRESP.ACC;VVRANDOMRESP.CRESP;VVRANDOMRESP.DEVICE;VVRANDOMRESP.DurationError;VVRANDOMRESP.OnsetDelay;VVRANDOMRESP.OnsetTime;VVRANDOMRESP.OnsetToOnsetTime;VVRANDOMRESP.RESP;VVRANDOMRESP.RT;VVRANDOMRESP.RTTime
EXP2.2_290421;10004;1;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435566</Frequency><Timestamp dt:dt=""r8"">18505308075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-10004-1;60.024;1.0.0.340;1;Chronos;1325870774;Full;3.0.3.80;3.0.3.80;04-30-2021;30/04/2021 09:16;11:16:02;3.0.3.82;1;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;blocVVstimTraining;LISTVVRANDOM1;VV_290421/875.png;VV_290421/880.png;0;;Chronos;-999999;-1;38638;0;5;830;39468
EXP2.2_290421;10004;1;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435566</Frequency><Timestamp dt:dt=""r8"">18505308075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-10004-1;60.024;1.0.0.340;1;Chronos;1325870774;Full;3.0.3.80;3.0.3.80;04-30-2021;30/04/2021 09:16;11:16:02;3.0.3.82;1;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;2;3;blocVVstimTraining;LISTVVRANDOM1;VV_290421/885.png;VV_290421/890.png;0;;Chronos;-999999;-1;41487;0;5;1495;42982
EXP2.2_290421;10004;1;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435566</Frequency><Timestamp dt:dt=""r8"">18505308075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-10004-1;60.024;1.0.0.340;1;Chronos;1325870774;Full;3.0.3.80;3.0.3.80;04-30-2021;30/04/2021 09:16;11:16:02;3.0.3.82;1;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;3;5;blocVVstimTraining;LISTVVRANDOM1;VV_290421/895.png;VV_290421/900.png;0;;Chronos;-999999;0;45003;0;5;1151;46154
EXP2.2_290421;10004;1;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435566</Frequency><Timestamp dt:dt=""r8"">18505308075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-10004-1;60.024;1.0.0.340;1;Chronos;1325870774;Full;3.0.3.80;3.0.3.80;04-30-2021;30/04/2021 09:16;11:16:02;3.0.3.82;1;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;4;7;blocVVstimTraining;LISTVVRANDOM1;VV_290421/905.png;VV_290421/910.png;0;;Chronos;-999999;0;48168;0;5;540;48708
EXP2.2_290421;10004;1;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435566</Frequency><Timestamp dt:dt=""r8"">18505308075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-10004-1;60.024;1.0.0.340;1;Chronos;1325870774;Full;3.0.3.80;3.0.3.80;04-30-2021;30/04/2021 09:16;11:16:02;3.0.3.82;1;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;1;5;9;blocVVstimTraining;LISTVVRANDOM1;VV_290421/915.png;VV_290421/920.png;0;;Chronos;-999999;0;50734;0;5;1329;52063
EXP2.2_290421;10004;1;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435566</Frequency><Timestamp dt:dt=""r8"">18505308075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-10004-1;60.024;1.0.0.340;1;Chronos;1325870774;Full;3.0.3.80;3.0.3.80;04-30-2021;30/04/2021 09:16;11:16:02;3.0.3.82;1;Chronos;1;1;1;Training;Generalbloc;;;Chronos;pretest;;1;;;;;;;TRAININGVV;SpatialTaskTraining;1;1;1;Chronos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;1;6;11;blocVVstimTraining;LISTVVRANDOM1;VV_290421/925.png;VV_290421/875.png;0;;Chronos;-999999;-1;54082;0;1;2800;56882
EXP2.2_290421;10004;1;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435566</Frequency><Timestamp dt:dt=""r8"">18505308075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-10004-1;60.024;1.0.0.340;1;Chronos;1325870774;Full;3.0.3.80;3.0.3.80;04-30-2021;30/04/2021 09:16;11:16:02;3.0.3.82;2;;2;1;2;TESTVV;Generalbloc;;;;pretest;Chronos;1;5;VV_290421/905.png;7;1;1;5;blocVVstim;listVVTrial;;;;Chronos;0;;0;0;105430;199;;0;0;0;5;Chronos;1;-1;105629;300;1;1353;106982;0;5;Chronos;0;0;105929;0;1;1053;106982;;;;;;;;;;;;;;;;;;;
EXP2.2_290421;10004;1;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435566</Frequency><Timestamp dt:dt=""r8"">18505308075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-10004-1;60.024;1.0.0.340;1;Chronos;1325870774;Full;3.0.3.80;3.0.3.80;04-30-2021;30/04/2021 09:16;11:16:02;3.0.3.82;2;;2;1;2;TESTVV;Generalbloc;;;;pretest;Chronos;2;1;VV_290421/895.png;5;1;2;-5;blocVVstim;listVVTrial;;;;Chronos;0;;0;0;108512;200;;0;0;0;1;Chronos;0;0;108712;299;5;938;109650;0;1;Chronos;1;-1;109011;0;5;639;109650;;;;;;;;;;;;;;;;;;;
EXP2.2_290421;10004;1;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435566</Frequency><Timestamp dt:dt=""r8"">18505308075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-10004-1;60.024;1.0.0.340;1;Chronos;1325870774;Full;3.0.3.80;3.0.3.80;04-30-2021;30/04/2021 09:16;11:16:02;3.0.3.82;2;;2;1;2;TESTVV;Generalbloc;;;;pretest;Chronos;3;15;VV_290421/900.png;6;1;3;0;blocVVstim;listVVTrial;;;;Chronos;0;;0;-1;111177;200;;0;0;0;15;Chronos;0;0;111377;300;5;1054;112431;0;15;Chronos;0;0;111677;0;5;754;112431;;;;;;;;;;;;;;;;;;;
EXP2.2_290421;10004;1;<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1186</SerialNumber><EBNVersion>3.0.3.80</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>2.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB20#4&9bd2e8a&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + USB#VID_8087&PID_0024#5&3026c139&0&1#{f18a0e88-c30c-11d0-8815-00a0c906bed8}(1) + VID_2266&PID_0007(7)</USBConnectionRoute></ChronosDeviceInfo>;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2435566</Frequency><Timestamp dt:dt=""r8"">18505308075</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-04-30T09:16:02Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";EXP2.2_290421-10004-1;60.024;1.0.0.340;1;Chronos;1325870774;Full;3.0.3.80;3.0.3.80;04-30-2021;30/04/2021 09:16;11:16:02;3.0.3.82;2;;2;1;2;TESTVV;Generalbloc;;;;pretest;Chronos;4;1;VV_290421/895.png;5;1;4;-5;blocVVstim;listVVTrial;;;;Chronos;0;;0;0;113960;200;;0;0;1;1;Chronos;0;0;114160;299;1;701;114861;1;1;Chronos;1;-1;114459;0;1;402;114861;;;;;;;;;;;;;;;;;;;
